phase	collection	category	sub_category	cbeta_id	volume	sutra_no	juan_count	title	translator
1	T	阿含部類	阿含部	T01n0001	01	0001	22	長阿含經	後秦 佛陀耶舍共竺佛念譯
1	T	阿含部類	阿含部	T01n0002	01	0002	1	七佛經	宋 法天譯
1	T	阿含部類	阿含部	T01n0003	01	0003	2	毘婆尸佛經	宋 法天譯
1	T	阿含部類	阿含部	T01n0004	01	0004	1	七佛父母姓字經	失譯
1	T	阿含部類	阿含部	T01n0005	01	0005	2	佛般泥洹經	西晉 白法祖譯
1	T	阿含部類	阿含部	T01n0006	01	0006	2	般泥洹經	失譯
1	T	阿含部類	阿含部	T01n0007	01	0007	3	大般涅槃經	東晉 法顯譯
1	T	阿含部類	阿含部	T01n0008	01	0008	2	大堅固婆羅門緣起經	宋 施護等譯
1	T	阿含部類	阿含部	T01n0009	01	0009	1	人仙經	宋 法賢譯
1	T	阿含部類	阿含部	T01n0010	01	0010	3	白衣金幢二婆羅門緣起經	宋 施護等譯
1	T	阿含部類	阿含部	T01n0011	01	0011	2	尼拘陀梵志經	宋 施護等譯
1	T	阿含部類	阿含部	T01n0012	01	0012	2	大集法門經	宋 施護譯
1	T	阿含部類	阿含部	T01n0013	01	0013	2	長阿含十報法經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0014	01	0014	1	人本欲生經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0015	01	0015	1	帝釋所問經	宋 法賢譯
1	T	阿含部類	阿含部	T01n0016	01	0016	1	尸迦羅越六方禮經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0017	01	0017	1	善生子經	西晉 支法度譯
1	T	阿含部類	阿含部	T01n0018	01	0018	1	信佛功德經	宋 法賢譯
1	T	阿含部類	阿含部	T01n0019	01	0019	1	大三摩惹經	宋 法天譯
1	T	阿含部類	阿含部	T01n0020	01	0020	1	佛開解梵志阿颰經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0021	01	0021	1	梵網六十二見經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0022	01	0022	1	寂志果經	東晉 竺曇無蘭譯
1	T	阿含部類	阿含部	T01n0023	01	0023	6	大樓炭經	西晉 法立共法炬譯
1	T	阿含部類	阿含部	T01n0024	01	0024	10	起世經	隋 闍那崛多等譯
1	T	阿含部類	阿含部	T01n0025	01	0025	10	起世因本經	隋 達摩笈多譯
1	T	阿含部類	阿含部	T01n0026	01	0026	60	中阿含經	東晉 瞿曇僧伽提婆譯
1	T	阿含部類	阿含部	T01n0027	01	0027	1	七知經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0028	01	0028	1	園生樹經	宋 施護譯
1	T	阿含部類	阿含部	T01n0029	01	0029	1	鹹水喻經	失譯
1	T	阿含部類	阿含部	T01n0030	01	0030	1	薩鉢多酥哩踰捺野經	宋 法賢譯
1	T	阿含部類	阿含部	T01n0031	01	0031	1	一切流攝守因經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0032	01	0032	1	四諦經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0033	01	0033	1	恒水經	西晉 法炬譯
1	T	阿含部類	阿含部	T01n0034	01	0034	1	法海經	西晉 法炬譯
1	T	阿含部類	阿含部	T01n0035	01	0035	1	海八德經	後秦 鳩摩羅什譯
1	T	阿含部類	阿含部	T01n0036	01	0036	1	本相猗致經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0037	01	0037	1	緣本致經	失譯
1	T	阿含部類	阿含部	T01n0038	01	0038	1	輪王七寶經	宋 施護譯
1	T	阿含部類	阿含部	T01n0039	01	0039	1	頂生王故事經	西晉 法炬譯
1	T	阿含部類	阿含部	T01n0040	01	0040	1	文陀竭王經	北涼 曇無讖譯
1	T	阿含部類	阿含部	T01n0041	01	0041	1	頻婆娑羅王經	宋 法賢譯
1	T	阿含部類	阿含部	T01n0042	01	0042	1	鐵城泥犁經	東晉 竺曇無蘭譯
1	T	阿含部類	阿含部	T01n0043	01	0043	1	閻羅王五天使者經	劉宋 慧簡譯
1	T	阿含部類	阿含部	T01n0044	01	0044	1	古來世時經	失譯
1	T	阿含部類	阿含部	T01n0045	01	0045	2	大正句王經	宋 法賢譯
1	T	阿含部類	阿含部	T01n0046	01	0046	1	阿那律八念經	後漢 支曜譯
1	T	阿含部類	阿含部	T01n0047	01	0047	1	離睡經	西晉 竺法護譯
1	T	阿含部類	阿含部	T01n0048	01	0048	1	是法非法經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0049	01	0049	1	求欲經	西晉 法炬譯
1	T	阿含部類	阿含部	T01n0050	01	0050	1	受歲經	西晉 竺法護譯
1	T	阿含部類	阿含部	T01n0051	01	0051	1	梵志計水淨經	失譯
1	T	阿含部類	阿含部	T01n0052	01	0052	1	大生義經	宋 施護譯
1	T	阿含部類	阿含部	T01n0053	01	0053	1	苦陰經	失譯
1	T	阿含部類	阿含部	T01n0054	01	0054	1	釋摩男本四子經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0055	01	0055	1	苦陰因事經	西晉 法炬譯
1	T	阿含部類	阿含部	T01n0056	01	0056	1	樂想經	西晉 竺法護譯
1	T	阿含部類	阿含部	T01n0057	01	0057	1	漏分布經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0058	01	0058	1	阿耨風經	東晉 竺曇無蘭譯
1	T	阿含部類	阿含部	T01n0059	01	0059	1	諸法本經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0060	01	0060	1	瞿曇彌記果經	劉宋 慧簡譯
1	T	阿含部類	阿含部	T01n0061	01	0061	1	受新歲經	西晉 竺法護譯
1	T	阿含部類	阿含部	T01n0062	01	0062	1	新歲經	東晉 竺曇無蘭譯
1	T	阿含部類	阿含部	T01n0063	01	0063	1	解夏經	宋 法賢譯
1	T	阿含部類	阿含部	T01n0064	01	0064	1	瞻婆比丘經	西晉 法炬譯
1	T	阿含部類	阿含部	T01n0065	01	0065	1	伏婬經	西晉 法炬譯
1	T	阿含部類	阿含部	T01n0066	01	0066	1	魔嬈亂經	失譯
1	T	阿含部類	阿含部	T01n0067	01	0067	1	弊魔試目連經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0068	01	0068	1	賴吒和羅經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0069	01	0069	1	護國經	宋 法賢譯
1	T	阿含部類	阿含部	T01n0070	01	0070	1	數經	西晉 法炬譯
1	T	阿含部類	阿含部	T01n0071	01	0071	1	梵志頞波羅延問種尊經	東晉 竺曇無蘭譯
1	T	阿含部類	阿含部	T01n0072	01	0072	1	三歸五戒慈心厭離功德經	失譯
1	T	阿含部類	阿含部	T01n0073	01	0073	1	須達經	蕭齊 求那毘地譯
1	T	阿含部類	阿含部	T01n0074	01	0074	1	長者施報經	宋 法天譯
1	T	阿含部類	阿含部	T01n0075	01	0075	1	佛為黃竹園老婆羅門說學經	失譯
1	T	阿含部類	阿含部	T01n0076	01	0076	1	梵摩渝經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0077	01	0077	1	尊上經	西晉 竺法護譯
1	T	阿含部類	阿含部	T01n0078	01	0078	1	兜調經	失譯
1	T	阿含部類	阿含部	T01n0079	01	0079	1	鸚鵡經	劉宋 求那跋陀羅譯
1	T	阿含部類	阿含部	T01n0080	01	0080	1	佛為首迦長者說業報差別經	隋 瞿曇法智譯
1	T	阿含部類	阿含部	T01n0081	01	0081	2	分別善惡報應經	宋 天息災譯
1	T	阿含部類	阿含部	T01n0082	01	0082	1	意經	西晉 竺法護譯
1	T	阿含部類	阿含部	T01n0083	01	0083	1	應法經	西晉 竺法護譯
1	T	阿含部類	阿含部	T01n0084	01	0084	1	分別布施經	宋 施護譯
1	T	阿含部類	阿含部	T01n0085	01	0085	1	息諍因緣經	宋 施護譯
1	T	阿含部類	阿含部	T01n0086	01	0086	1	泥犁經	東晉 竺曇無蘭譯
1	T	阿含部類	阿含部	T01n0087	01	0087	1	齋經	吳 支謙譯
1	T	阿含部類	阿含部	T01n0088	01	0088	1	優陂夷墮舍迦經	失譯
1	T	阿含部類	阿含部	T01n0089	01	0089	1	八關齋經	劉宋 沮渠京聲譯
1	T	阿含部類	阿含部	T01n0090	01	0090	1	鞞摩肅經	劉宋 求那跋陀羅譯
1	T	阿含部類	阿含部	T01n0091	01	0091	1	婆羅門子命終愛念不離經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0092	01	0092	1	十支居士八城人經	後漢 安世高譯
1	T	阿含部類	阿含部	T01n0093	01	0093	1	邪見經	失譯
1	T	阿含部類	阿含部	T01n0094	01	0094	1	箭喻經	失譯
1	T	阿含部類	阿含部	T01n0095	01	0095	1	蟻喻經	宋 施護譯
1	T	阿含部類	阿含部	T01n0096	01	0096	1	治意經	失譯
1	T	阿含部類	阿含部	T01n0097	01	0097	1	廣義法門經	陳 真諦譯
1	T	阿含部類	阿含部	T01n0098	01	0098	1	普法義經	後漢 安世高譯
1	T	阿含部類	阿含部	T02n0099	02	0099	50	雜阿含經	劉宋 求那跋陀羅譯
1	T	阿含部類	阿含部	T02n0100	02	0100	16	別譯雜阿含經	失譯
1	T	阿含部類	阿含部	T02n0101	02	0101	1	雜阿含經	失譯
1	T	阿含部類	阿含部	T02n0102	02	0102	1	佛說五蘊皆空經	唐 義淨譯
1	T	阿含部類	阿含部	T02n0103	02	0103	1	佛說聖法印經	西晉 竺法護譯
1	T	阿含部類	阿含部	T02n0104	02	0104	1	佛說法印經	宋 施護譯
1	T	阿含部類	阿含部	T02n0105	02	0105	1	五陰譬喻經	後漢 安世高譯
